ident8;begin.positie;begin.opschrift;begin.afstand;eind.positie;eind.opschrift;eind.afstand;gebied
N0420001;18.459;18.5;-41;19.659;19.7;-38;Agentschap Wegen en Verkeer - AWV412
N0420001;19.659;19.7;-38;29.906;29.9;0;Agentschap Wegen en Verkeer - AWV415
N0429011;0;0;-3;3.925;3.939;7;Gemeente - GemeenteZottegem
N0429021;0.001;0;-18;2.603;2.6;24;Agentschap Wegen en Verkeer - AWV412
N0430001;1;1;0;1.1;1;100;Agentschap Wegen en Verkeer - AWV411
N0430001;2.521;2.7;-181;11.431;11.4;27;Agentschap Wegen en Verkeer - AWV411
N0430001;11.431;11.4;27;27.734;27.7;33;Agentschap Wegen en Verkeer - AWV413
N0430001;27.734;27.7;33;40.845;40.8;49;Agentschap Wegen en Verkeer - AWV312
N0430001;41.873;41.9;-27;51.501;51.4;96;Agentschap Wegen en Verkeer - AWV312
N0430002;49.069;49.1;-33;51.816;51.4;411;Waals Gewest - Waals Gewest
N0440001;0.14;0.1;-10;17.983;18;1;Agentschap Wegen en Verkeer - AWV413
N0449011;0;0;-21;1.151;1.1;33;Agentschap Wegen en Verkeer - AWV413
N0450001;0.054;0.1;-43;7.49;7.4;89;Agentschap Wegen en Verkeer - AWV415
N0450001;12.899;13;-104;16.593;16.5;87;Agentschap Wegen en Verkeer - AWV415
N0460001;0;0;-21;7.006;7;-1;Agentschap Wegen en Verkeer - AWV415
N0460001;7.006;7;-1;32.091;32;0;Agentschap Wegen en Verkeer - AWV412
N0469011;0;23.8;-328;0.493;23.8;165;Gemeente - GemeenteZwalm
N0470001;0;0;0;6.355;6.4;-44;Agentschap Wegen en Verkeer - AWV212
N0470001;6.355;6.4;-44;17.633;17.6;23;Agentschap Wegen en Verkeer - AWV415
N0470001;17.633;17.6;23;29.004;28.9;103;Agentschap Wegen en Verkeer - AWV414
N0480001;0;0;-52;4.54;4.5;40;Agentschap Wegen en Verkeer - AWV412
N0480001;4.54;4.5;40;8.849;8.8;50;Waals Gewest - Waals Gewest
N0480001;8.849;8.8;50;12.81;12.8;9;Agentschap Wegen en Verkeer - AWV412
N0480001;14.397;14.4;-21;14.411;14.4;-7;Agentschap Wegen en Verkeer - AWV412
N0480001;14.411;14.4;-7;15.327;15.3;28;Gemeente - GemeenteRonse
N0480001;15.327;15.3;28;16.641;16.6;41;Agentschap Wegen en Verkeer - AWV412
N0489021;0;0;0;1.516;1.5;28;Agentschap Wegen en Verkeer - AWV412
N0489031;0;0;-3;0.851;0.8;51;Agentschap Wegen en Verkeer - AWV412
N0490001;78.848;79;-132;84.405;84.4;0;Agentschap Wegen en Verkeer - AWV311
N0499011;0.243;0.3;-61;4.374;2.1;2274;Agentschap Wegen en Verkeer - AWV121
N0499031;0.085;0.1;-17;0.636;0.6;30;Gemeente - GemeenteKnokke-Heist
N0499041;0.015;0.1;-89;0.573;0.5;67;Gemeente - GemeenteKnokke-Heist
N0500001;48.651;48.7;-57;48.653;48.7;-55;Waals Gewest - Waals Gewest
N0500001;48.653;48.7;-55;68.378;68.4;-13;Agentschap Wegen en Verkeer - AWV312
N0500001;68.378;68.4;-13;87.692;87.7;-8;Agentschap Wegen en Verkeer - AWV316
N0500001;87.692;87.7;-8;104.397;104.4;3;Agentschap Wegen en Verkeer - AWV311
N0500001;104.397;104.4;3;105.722;104.4;1328;Gemeente - GemeenteBrugge
N0509011;0;0;-5;0.175;0.1;76;Agentschap Wegen en Verkeer - AWV312
N0509041;0.001;0;-3;1.462;1.4;63;Agentschap Wegen en Verkeer - AWV316
N0509041;1.462;1.4;63;3.757;1.4;2358;Gemeente - GemeenteIngelmunster
N0509061;0;0;0;1.452;0;1452;Gemeente - GemeenteOostkamp
N0509071;0;0;0;0.971;0.9;37;Agentschap Wegen en Verkeer - AWV311
N0509081;0.042;0.1;-61;0.279;0.2;80;Agentschap Wegen en Verkeer - AWV312
N0570001;0.203;0;0;3.372;3.3;68;Agentschap Wegen en Verkeer - AWV412
N0580001;0;8.1;-8100;8.096;8.1;-4;Waals Gewest - Waals Gewest
N0580001;8.096;8.1;-4;10.68;10.6;85;Agentschap Wegen en Verkeer - AWV312
N0580001;20.07;20.1;-30;27.385;27.3;85;Agentschap Wegen en Verkeer - AWV312
N0600001;0;0;-4;14.521;14.5;21;Agentschap Wegen en Verkeer - AWV411
N0600001;14.521;14.5;21;32.975;32.9;61;Agentschap Wegen en Verkeer - AWV412
N0609021;0;0;0;2.835;2.7;139;Agentschap Wegen en Verkeer - AWV412
N0609021;3.212;3.3;-82;4.963;4.9;63;Agentschap Wegen en Verkeer - AWV412
N0609031;0;0;-31;2.495;2.3;202;Gemeente - GemeenteDe Pinte
N0640001;35.924;36;-75;40.069;40;68;Agentschap Wegen en Verkeer - AWV214
N0640001;40.069;40;68;40.755;40;754;Gemeente - GemeenteTienen
N0690001;0.319;0.5;-185;7.051;7;57;Agentschap Wegen en Verkeer - AWV719
N0700001;0.125;0.2;-72;5.589;5.6;-15;Agentschap Wegen en Verkeer - AWV411
N0700001;5.589;5.6;-15;30.321;30.3;13;Agentschap Wegen en Verkeer - AWV414
N0700001;30.321;30.3;13;32.467;32.5;-23;Gemeente - GemeenteSint-Niklaas
N0700001;32.467;32.5;-23;37.88;37.9;-21;Agentschap Wegen en Verkeer - AWV414
N0700001;37.88;37.9;-21;49.8;49.8;1;Agentschap Wegen en Verkeer - AWV121
N0709011;0;0;-2;2.399;2.3;101;Agentschap Wegen en Verkeer - AWV411
N0710001;0.705;3.2;-2495;0.811;3.2;-2389;Agentschap Wegen en Verkeer - AWV114
N0710001;0.811;3.2;-2389;3.14;3.2;-60;Gemeente - GemeenteGeel
N0710001;3.14;3.2;-60;18.32;18.3;19;Agentschap Wegen en Verkeer - AWV114
N0710001;18.32;18.3;19;31.428;31.3;129;Agentschap Wegen en Verkeer - AWV717
N0710001;32.685;32.7;-16;33.846;33.7;147;Agentschap Wegen en Verkeer - AWV717
N0710001;37.093;37.1;-9;42.349;42.3;51;Agentschap Wegen en Verkeer - AWV717
N0710001;42.349;42.3;51;43.74;42.3;1442;Gemeente - GemeenteHamont-Achel
N0720001;0;0.1;-112;4.511;4.5;17;Agentschap Wegen en Verkeer - AWV720
N0720001;4.511;4.5;17;20.691;20.6;92;Agentschap Wegen en Verkeer - AWV717
N0729011;0.013;0;0;3;0;2987;Gemeente - GemeenteBeringen
N0729021;0;0;0;0.91;0;910;Gemeente - GemeenteBeringen
N0730001;0;0;-15;29.575;29.6;-31;Agentschap Wegen en Verkeer - AWV718
N0730001;29.575;29.6;-31;41.928;41.9;5;Agentschap Wegen en Verkeer - AWV717
N0730001;44.923;45;-83;49.104;49;90;Agentschap Wegen en Verkeer - AWV717
N0739011;0;0;0;0.785;0;785;Gemeente - GemeenteBree
N0739021;0;0;0;3.097;0;3097;Gemeente - GemeentePeer
N0739261;39.055;39.1;-27;39.55;39.5;46;Agentschap Wegen en Verkeer - AWV717
N0740001;0;0.7;-699;0.682;0.7;-17;Gemeente - GemeenteHasselt
N0740001;0.682;0.7;-17;9.206;9.1;98;Agentschap Wegen en Verkeer - AWV720
N0740001;9.206;9.1;98;9.265;9.1;157;Agentschap Wegen en Verkeer - AWV717
N0740001;64.8;64.9;-101;85.972;85.9;73;Agentschap Wegen en Verkeer - AWV717
N0749011;0;0;0;0.339;0;339;Gemeente - GemeenteHechtel-Eksel
N0749011;0.339;0;339;1.348;0;1348;Gemeente - GemeentePelt
N0750001;0;0;-8;10.733;10.7;15;Agentschap Wegen en Verkeer - AWV720
N0750001;10.733;10.7;15;13.041;13.1;-60;Gemeente - GemeenteGenk
N0750001;13.041;13.1;-60;17.067;17.1;-33;Agentschap Wegen en Verkeer - AWV720
N0750001;17.067;17.1;-33;29.27;29.3;0;Agentschap Wegen en Verkeer - AWV718
N0760001;0;0;-12;9.703;9.7;3;Agentschap Wegen en Verkeer - AWV719
N0760001;9.703;9.7;3;28.344;28.3;47;Agentschap Wegen en Verkeer - AWV720
N0760001;28.344;28.3;47;54.985;55;-17;Agentschap Wegen en Verkeer - AWV718
N0760001;54.985;55;-17;58.45;58.4;48;Agentschap Wegen en Verkeer - AWV717
N0769021;0.015;0.1;-83;1.575;1.5;89;Agentschap Wegen en Verkeer - AWV718
N0769041;0;0;0;3.72;0;3720;Gemeente - GemeenteDiepenbeek
N0769081;0.007;0;7;0.356;0;356;Gemeente - GemeenteBree
N0769081;0.356;0;356;2.879;0;2879;Gemeente - GemeenteBocholt
N0769101;0;0;0;0.176;0;176;Gemeente - GemeenteBree
N0769111;0;0;0;0.802;0.8;4;Agentschap Wegen en Verkeer - AWV719
N0770001;2.405;2.5;-93;4.326;4.3;27;Agentschap Wegen en Verkeer - AWV720
N0770001;4.326;4.3;27;16.656;16.6;68;Agentschap Wegen en Verkeer - AWV718
N0779011;0;0;-4;1.492;1.4;92;Agentschap Wegen en Verkeer - AWV718
N0779011;2.405;0;2405;2.836;0;2836;Gemeente - GemeenteLanaken
N0779021;0.2;0.1;0;0.814;0.8;6;Agentschap Wegen en Verkeer - AWV718
N0780001;0;0;-10;1.274;1.3;-28;Agentschap Wegen en Verkeer - AWV719
N0780001;1.274;1.3;-28;43.037;43;63;Agentschap Wegen en Verkeer - AWV718
N0789011;0;0;0;2.602;0;2602;Gemeente - GemeenteLanaken
N0789021;0;0;-7;1.651;1.6;50;Agentschap Wegen en Verkeer - AWV718
N0789021;1.651;1.6;50;2.309;2.4;-84;Gemeente - GemeenteMaaseik
N0789021;2.309;2.4;-84;2.937;2.9;39;Agentschap Wegen en Verkeer - AWV718
N0790001;0.34;0.4;-57;19.965;19.9;65;Agentschap Wegen en Verkeer - AWV719
N0790001;21.719;21.7;0;34.087;34.1;5;Agentschap Wegen en Verkeer - AWV719
N0799011;1.237;1.3;-63;2.305;2.3;30;Agentschap Wegen en Verkeer - AWV719
N0799021;0;0;-9;1.7;1.7;0;Agentschap Wegen en Verkeer - AWV719
N0799031;0;0;0;0.36;0;360;Agentschap Wegen en Verkeer - AWV719
N0800001;0;1.4;-1383;1.296;1.4;-87;Gemeente - GemeenteHasselt
N0800001;1.296;1.4;-87;4.454;4.5;-46;Agentschap Wegen en Verkeer - AWV720
N0800001;4.454;4.5;-46;27.938;27.9;38;Agentschap Wegen en Verkeer - AWV719
N0800001;27.938;27.9;38;32.632;32.6;23;Agentschap Wegen en Verkeer - AWV214
N0809011;0;0;-11;0.953;0.9;51;Agentschap Wegen en Verkeer - AWV719
N0809021;0;0;-37;0.46;0.4;61;Agentschap Wegen en Verkeer - AWV719
N1010001;0;0;-10;30.918;30.9;24;Agentschap Wegen en Verkeer - AWV121
N1019011;0;0;0;1.743;1.74;0;Agentschap Wegen en Verkeer - AWV121
N1019021;0;0;-14;0.666;0.67;0;Agentschap Wegen en Verkeer - AWV121
N1019041;0;0;0;2.021;0;2021;Agentschap Wegen en Verkeer - AWV121
N1020001;0;0.2;-200;4.299;4.2;98;Agentschap Wegen en Verkeer - AWV114
N1030001;0;0;-30;6.879;6.8;94;Agentschap Wegen en Verkeer - AWV114
N1040001;0;0;0;2.404;0;2404;Gemeente - GemeenteBeerse
N1040001;2.404;0;2404;4.489;0;4489;Gemeente - GemeenteLille
N1050001;0;0;-5;0.2;0.2;0;Agentschap Wegen en Verkeer - AWV112
N1050001;0.316;0.3;0;2.728;2.7;45;Agentschap Wegen en Verkeer - AWV112
N1060001;0;0;0;1.75;0;1750;Gemeente - GemeenteAntwerpen
N1060001;1.75;0;1750;4.209;0;4209;Gemeente - GemeenteEdegem
N1069011;0;0;0;0.345;0;345;Gemeente - GemeenteEdegem
N1070001;0;0;-12;1.177;1.1;80;Agentschap Wegen en Verkeer - AWV121
N1080001;0;0;-4;2.277;2.3;-29;Agentschap Wegen en Verkeer - AWV123
N1080001;2.277;2.3;-29;6.321;6.3;19;Agentschap Wegen en Verkeer - AWV112
N1090001;0;0;-10;4.567;4.5;69;Agentschap Wegen en Verkeer - AWV112
N1100001;0;0;-8;5.351;5.3;55;Agentschap Wegen en Verkeer - AWV114
N1100001;5.351;5.3;55;6.25;6.3;-50;Gemeente - GemeenteMeerhout
N1100001;6.25;6.3;-50;10.116;10.1;13;Agentschap Wegen en Verkeer - AWV114
N1100001;10.116;10.1;13;11.698;11.6;98;Agentschap Wegen en Verkeer - AWV717
N1109011;0;0;-13;0.76;0.7;76;Agentschap Wegen en Verkeer - AWV114
N1110001;0;0;-6;4.482;4.4;91;Agentschap Wegen en Verkeer - AWV121
N1110001;4.482;4.4;91;19.031;18.8;199;Agentschap Wegen en Verkeer - AWV123
N1120001;0;0;-10;3.947;3.9;53;Agentschap Wegen en Verkeer - AWV123
N1130001;0.015;0;0;1.535;0;1520;Gemeente - GemeenteAntwerpen
N1140001;0;0;-8;1.754;1.7;53;Agentschap Wegen en Verkeer - AWV121
N1140001;1.754;1.7;53;2.517;2.6;-81;Gemeente - GemeenteAntwerpen
N1140001;2.517;2.6;-81;10.193;10.1;94;Agentschap Wegen en Verkeer - AWV121
N1149011;0;0;-3;0.581;0;578;Agentschap Wegen en Verkeer - AWV121
N1149021;0;0;0;0.083;0;83;Agentschap Wegen en Verkeer - AWV121
N1150001;0;0.1;-97;0.42;0.4;28;Agentschap Wegen en Verkeer - AWV121
N1150001;0.42;0.4;28;17.862;17.8;87;Agentschap Wegen en Verkeer - AWV123
N1150001;17.862;17.8;87;18.85;18.9;-57;Gemeente - GemeenteBrecht
N1150001;18.85;18.9;-57;25.044;25;46;Agentschap Wegen en Verkeer - AWV123
N1150001;25.044;25;46;28.394;28.4;13;Agentschap Wegen en Verkeer - AWV125
N1159011;0.015;0.1;-88;0.805;0.8;4;Agentschap Wegen en Verkeer - AWV123
N1159021;0.003;0;-4;2.28;2.2;80;Agentschap Wegen en Verkeer - AWV123
N1160001;0;0;-6;3.203;3.2;-9;Agentschap Wegen en Verkeer - AWV121
N1160001;3.203;3.2;-9;15.375;15.4;-20;Agentschap Wegen en Verkeer - AWV123
N1160001;15.375;15.4;-20;18.174;18.1;77;Agentschap Wegen en Verkeer - AWV114
N1169011;0;0;0;1.744;0;1744;Gemeente - GemeenteAntwerpen
N1169011;1.744;0;1744;1.871;0;1871;Agentschap Wegen en Verkeer - AWV123
N1170001;0;0;-8;21.494;21.5;3;Agentschap Wegen en Verkeer - AWV123
N1180001;0.015;0.1;-84;7.284;7.3;-12;Agentschap Wegen en Verkeer - AWV114
N1180001;7.284;7.3;-12;12.59;12.5;90;Agentschap Wegen en Verkeer - AWV125
N1180001;12.59;12.5;90;13.426;13.5;-77;Gemeente - GemeenteRetie
N1180001;13.426;13.5;-77;31.281;31.2;82;Agentschap Wegen en Verkeer - AWV125
N1190001;0;0;-9;7.298;7.3;5;Agentschap Wegen en Verkeer - AWV125
N1200001;0;0;-15;3.239;3.2;42;Agentschap Wegen en Verkeer - AWV121
N1200001;3.239;3.2;42;4.683;4.6;83;Agentschap Wegen en Verkeer - AWV123
N1200001;4.688;4.6;88;5.944;4.6;1344;Gemeente - GemeenteWijnegem
N1210001;0;0;-18;9.438;9.4;54;Agentschap Wegen en Verkeer - AWV123
N1220001;0;0;-42;15.389;15.4;8;Agentschap Wegen en Verkeer - AWV123
N1230001;1.209;1.3;-81;4.219;4.2;24;Agentschap Wegen en Verkeer - AWV114
N1230001;4.219;4.2;24;20.805;20.7;99;Agentschap Wegen en Verkeer - AWV125
N1230001;20.805;20.7;99;21.185;20.7;479;Gemeente - GemeenteRetie
N1230001;21.186;21.2;-4;26.213;26.2;1;Agentschap Wegen en Verkeer - AWV125
N1230001;26.213;26.2;1;33.309;33.3;0;Agentschap Wegen en Verkeer - AWV114
N1240001;0;1.3;-1295;1.274;1.3;-21;Gemeente - GemeenteTurnhout
N1240001;1.274;1.3;-21;15.244;15.2;43;Agentschap Wegen en Verkeer - AWV125
N1250001;0;0;0;6.498;0;6498;Gemeente - GemeenteEssen
N1260001;0;0.5;-496;0.439;0.5;-57;Gemeente - GemeenteGeel
N1260001;0.439;0.5;-57;11.281;11.3;-23;Agentschap Wegen en Verkeer - AWV114
N1260001;11.281;11.3;-23;13.042;13;37;Agentschap Wegen en Verkeer - AWV717
N1270001;0;0.1;-101;5.025;5;8;Agentschap Wegen en Verkeer - AWV214
N1270001;5.025;5;8;7.848;7.9;-45;Agentschap Wegen en Verkeer - AWV717
N1270001;7.848;7.9;-45;14.733;14.7;34;Agentschap Wegen en Verkeer - AWV114
N1280001;0;0;-4;3.022;3;31;Agentschap Wegen en Verkeer - AWV125
N1290001;0;0;-15;2.593;2.5;99;Agentschap Wegen en Verkeer - AWV121
N1299011;0;0;0;0.044;0;44;Agentschap Wegen en Verkeer - AWV121
N1299011;0.044;0;44;0.349;0.3;95;Gemeente - GemeenteAntwerpen
N1300001;0;0;-11;1.59;1.5;90;Agentschap Wegen en Verkeer - AWV121
N1310001;0;1.9;-1913;1.877;1.9;-36;Gemeente - GemeenteBrecht
N1310001;1.877;1.9;-36;3.559;3.6;-42;Agentschap Wegen en Verkeer - AWV123
N1310001;3.559;3.6;-42;6.225;6.2;27;Agentschap Wegen en Verkeer - AWV125
N1310001;6.29;6.3;-7;13.935;13.9;40;Agentschap Wegen en Verkeer - AWV125
N1320001;0;0;-6;17.13;17;133;Agentschap Wegen en Verkeer - AWV125
N1330001;0;0;-2;25.75;25.6;152;Agentschap Wegen en Verkeer - AWV123
N1330001;25.75;25.6;152;27.066;25.6;1468;Gemeente - GemeenteEssen
N1340001;0;0;0;6.034;6;35;Agentschap Wegen en Verkeer - AWV125
N1350001;0;0;0;2.794;0;2794;Gemeente - GemeenteRavels
N1360001;0;0;-3;13.366;13.3;66;Agentschap Wegen en Verkeer - AWV114
N1370001;0;0;-7;2.415;2.4;15;Agentschap Wegen en Verkeer - AWV125
N1380001;0;0;-22;1.593;1.6;0;Agentschap Wegen en Verkeer - AWV125
N1390001;0;0;-41;10.133;10.1;38;Agentschap Wegen en Verkeer - AWV125
N1399011;3.954;4;0;6.625;4;2671;Gemeente - GemeenteArendonk
N1400001;0;0.1;-95;11.019;11;41;Agentschap Wegen en Verkeer - AWV125
N1410001;0;0;-17;7.89;7.9;-8;Agentschap Wegen en Verkeer - AWV114
N1410001;7.89;7.9;-8;19.17;19.1;58;Agentschap Wegen en Verkeer - AWV717
N1420001;0.525;0.6;-67;1.265;1.2;69;Agentschap Wegen en Verkeer - AWV114
N1440001;0;0;-11;3.002;3;0;Agentschap Wegen en Verkeer - AWV125
N1440001;3.002;3;0;11.375;11.3;74;Agentschap Wegen en Verkeer - AWV123
N1460001;0;0;-6;6.003;5.9;94;Agentschap Wegen en Verkeer - AWV125
N1480001;0;0;-30;1.206;1.5;-275;Agentschap Wegen en Verkeer - AWV121
N1480001;1.206;1.5;-275;1.434;1.5;-47;Gemeente - GemeenteAntwerpen
N1480001;1.434;1.5;-47;5.842;5.8;50;Agentschap Wegen en Verkeer - AWV121
N1480001;5.842;5.8;50;8.903;5.8;3111;Gemeente - GemeenteHemiksem
N1480001;8.903;5.8;3111;10.603;5.8;4811;Gemeente - GemeenteSchelle
N1480001;10.603;5.8;4811;13.597;5.8;7805;Gemeente - GemeenteNiel
N1480001;13.597;5.8;7805;15.362;5.8;9570;Gemeente - GemeenteBoom
N1490001;0;0;0;2.554;0;2554;Gemeente - GemeenteWillebroek
N1490001;2.554;0;2554;7.963;0;7963;Gemeente - GemeentePuurs-Sint-Amands
N1500001;0;0.1;-110;0.885;0.8;53;Agentschap Wegen en Verkeer - AWV121
N1510001;0;0;-27;0.528;0;501;Agentschap Wegen en Verkeer - AWV121
N1520001;0.059;0;0;9.063;9;91;Agentschap Wegen en Verkeer - AWV114
N1520001;9.063;9;91;10.067;10.1;-50;Gemeente - GemeenteWesterlo
N1520001;10.067;10.1;-50;13.267;13.2;65;Agentschap Wegen en Verkeer - AWV114
N1529011;0;0;-9;1.111;1.1;19;Agentschap Wegen en Verkeer - AWV114
N1530001;0;0;-18;6.289;6.3;-10;Agentschap Wegen en Verkeer - AWV114
N1530001;6.289;6.3;-10;14.48;14.5;-19;Agentschap Wegen en Verkeer - AWV125
N1530001;14.48;14.5;-19;25.825;25.7;124;Agentschap Wegen en Verkeer - AWV123
N1539011;0;0;0;1.837;0;1837;Gemeente - GemeenteBrecht
N1540001;0;0;-3;0.81;0.7;109;Agentschap Wegen en Verkeer - AWV123
N1550001;0;0;-3;1.069;1.1;23;Agentschap Wegen en Verkeer - AWV121
N1559011;0;0;0;0.457;0;457;Agentschap Wegen en Verkeer - AWV121
N1560001;0;7.2;-7199;3.585;7.2;-3614;Gemeente - GemeenteOlen
N1560001;3.585;7.2;-3614;7.122;7.2;-77;Gemeente - GemeenteWesterlo
N1560001;7.122;7.2;-77;20.866;20.9;-37;Agentschap Wegen en Verkeer - AWV114
N1560001;20.866;20.9;-37;22.59;22.5;89;Agentschap Wegen en Verkeer - AWV717
N1590001;0;0;0;10.706;0;10706;Gemeente - GemeenteBornem
N1650001;0;0;-22;3.46;3.4;60;Agentschap Wegen en Verkeer - AWV114
N1710001;0;0;-12;6.562;6.5;58;Agentschap Wegen en Verkeer - AWV121
N1710001;9.04;9.1;-60;10.281;10.3;0;Agentschap Wegen en Verkeer - AWV121
N1719011;0;0.2;-201;1.112;0.8;318;Agentschap Wegen en Verkeer - AWV121
N1730001;0;0;-19;6.3;6.2;68;Agentschap Wegen en Verkeer - AWV121
N1740001;0;0;-1;8.334;8.3;32;Agentschap Wegen en Verkeer - AWV114
N1740001;8.334;8.3;32;15.1;15.1;5;Agentschap Wegen en Verkeer - AWV717
N1740001;15.1;15.1;5;18.138;18;140;Agentschap Wegen en Verkeer - AWV214
N1770001;13.766;13.8;28;15.466;15.4;67;Agentschap Wegen en Verkeer - AWV112
N1770002;0;0.1;-46;13.768;13.8;27;Agentschap Wegen en Verkeer - AWV121
N1779011;0;0;0;0.175;0;175;Gemeente - GemeenteBoom
N1779021;0;0;0;0.281;0;281;Gemeente - GemeenteRumst
N1790001;0;0;-15;3.29;3.2;76;Agentschap Wegen en Verkeer - AWV123
N1800001;0;0.4;-381;0.33;0.4;-51;Gemeente - GemeenteAntwerpen
N1800001;0.33;0.4;-51;16.864;16.8;108;Agentschap Wegen en Verkeer - AWV121
N1830001;0;0;0;4.309;0;4309;Gemeente - GemeenteWillebroek
N1830001;4.31;0;4310;8.729;0;8729;Gemeente - GemeentePuurs-Sint-Amands
N1840001;0;0.2;-197;0.12;0.2;-77;Gemeente - GemeenteAntwerpen
N1840001;0.12;0.2;-77;3.211;3.2;18;Agentschap Wegen en Verkeer - AWV121
N1860001;0.034;0.2;-167;1.303;1.2;90;Agentschap Wegen en Verkeer - AWV121
N2020001;0;0.1;-95;4.188;4.1;90;Agentschap Wegen en Verkeer - AWV212
N2030001;0;0;-1;0.401;0.4;18;Agentschap Wegen en Verkeer - AWV211
N2030001;0.401;0.4;18;1.423;0.4;1040;Gemeente - GemeenteHalle
N2070001;0;0;-5;4.301;4.2;109;Agentschap Wegen en Verkeer - AWV211
N2080001;0;0.5;-499;4.104;3.9;165;Agentschap Wegen en Verkeer - AWV211
N2090001;0.203;1.6;-1403;1.525;1.6;-81;Brussels Gewest - Brussels Gewest
N2090001;1.525;1.6;-81;1.787;1.8;10;Agentschap Wegen en Verkeer - AWV212
N2110002;0;0;-33;23.848;23.8;42;Agentschap Wegen en Verkeer - AWV212
N2119011;0;0.2;-134;0.309;0.4;52;Agentschap Wegen en Verkeer - AWV212
N2119011;0.309;0.4;52;0.558;0.4;301;Gemeente - GemeenteGrimbergen
N2119021;0;0;-9;0.885;0.8;87;Agentschap Wegen en Verkeer - AWV212
N2119031;0;0;-29;0.663;0.628;0;Agentschap Wegen en Verkeer - AWV212
N2120001;0;0.1;-93;5.635;5.6;32;Agentschap Wegen en Verkeer - AWV114
N2120001;5.635;5.6;32;14.204;14.2;0;Agentschap Wegen en Verkeer - AWV214
N2140001;0;0;0;0.795;0;795;Gemeente - GemeenteTienen
N2180001;0;0;0;1.445;0;1445;Gemeente - GemeenteOverijse
N2210001;1.67;1.7;-25;1.731;1.7;36;Agentschap Wegen en Verkeer - AWV214
N2210001;1.731;1.7;36;3.201;3.1;100;Gemeente - GemeenteTienen
N2210001;3.201;3.1;100;6.532;3.1;3431;Gemeente - GemeenteHoegaarden
N2230001;0;0;-3;20.688;20.6;89;Agentschap Wegen en Verkeer - AWV214
N2240001;0;0;-14;0.958;0.9;63;Agentschap Wegen en Verkeer - AWV211
N2260001;0;4.3;-4300;4.287;4.3;-13;Brussels Gewest - Brussels Gewest
N2260001;4.287;4.3;-13;5.634;5.6;49;Agentschap Wegen en Verkeer - AWV212
N2260001;5.634;5.6;49;6.067;5.6;482;Gemeente - GemeenteWezembeek-Oppem
N2270001;0;0;-35;2.25;2.2;34;Agentschap Wegen en Verkeer - AWV112
N2270001;2.25;2.2;34;11.953;11.9;56;Agentschap Wegen en Verkeer - AWV212
N2270001;12.1;0;12100;14.011;0;14011;Gemeente - GemeenteSteenokkerzeel
N2270001;14.215;14.6;-394;23.948;23.8;144;Agentschap Wegen en Verkeer - AWV212
N2279011;0.581;0.8;-230;0.808;0.8;-3;Vlaamse Overheid - Vlaamse Overheid
N2279011;0.808;0.8;-3;0.992;0.9;81;Agentschap Wegen en Verkeer - AWV112
N2279012;0.847;0.8;43;0.992;0.8;188;Gemeente - GemeenteMechelen
N2279021;0;0;0;2.2;2.2;7;Agentschap Wegen en Verkeer - AWV212
N2279031;0;0;-7;0.127;0.1;24;Agentschap Wegen en Verkeer - AWV212
N2279041;0;0;0;0.097;0;97;Gemeente - GemeenteMechelen
N2290001;0;0;-8;5.733;5.7;19;Agentschap Wegen en Verkeer - AWV213
N2310001;0.02;0;-10;7.768;7.6;173;Agentschap Wegen en Verkeer - AWV211
N2340001;0;0;-16;2.499;2.4;101;Agentschap Wegen en Verkeer - AWV214
N2340001;2.499;2.4;101;2.634;2.4;236;Gemeente - GemeenteBoutersem
N2350001;0;5.5;-5512;5.431;5.5;-81;Brussels Gewest - Brussels Gewest
N2350001;11.111;11.1;8;13.235;13.2;31;Waals Gewest - Waals Gewest
N2350002;5.431;5.5;-81;13.202;13.2;-2;Agentschap Wegen en Verkeer - AWV211
N2490001;0;0;-14;2.426;2.4;24;Agentschap Wegen en Verkeer - AWV211
N2510001;0;0.3;-323;4.85;4.8;49;Agentschap Wegen en Verkeer - AWV213
N2530001;0;0;-9;20.998;21;0;Agentschap Wegen en Verkeer - AWV213
N2550001;0.383;0.5;-120;9.971;10;-32;Agentschap Wegen en Verkeer - AWV211
N2550001;9.971;10;-32;15.316;15.3;59;Agentschap Wegen en Verkeer - AWV415
N2580001;0;0;-6;2.572;2.4;162;Agentschap Wegen en Verkeer - AWV214
N2580001;2.572;2.4;162;2.938;2.4;528;Gemeente - GemeenteTielt-Winge
N2590001;0;0;0;12.343;0;12343;Gemeente - GemeenteLonderzeel
N2600001;5.623;5.6;0;7.333;5.6;1710;Agentschap Wegen en Verkeer - AWV212
N2610001;0;5.7;-5693;5.593;5.7;-100;Brussels Gewest - Brussels Gewest
N2610001;5.593;5.7;-100;6.829;6.8;27;Agentschap Wegen en Verkeer - AWV211
N2619011;0;0;-11;0.207;0.2;4;Agentschap Wegen en Verkeer - AWV211
N2619021;0;0;0;0.485;0.4;84;Agentschap Wegen en Verkeer - AWV211
N2620001;0;0;0;2.597;0;2597;Gemeente - GemeenteZaventem
N2620001;2.597;0;2597;2.668;0;2668;Privaatbeheer - Privaatbeheer
N2630001;0;0;-6;1.49;1.5;-15;Agentschap Wegen en Verkeer - AWV415
N2630001;1.49;1.5;-15;5.959;5.9;38;Agentschap Wegen en Verkeer - AWV211
N2640001;0;0;0;2.314;2.3;24;Agentschap Wegen en Verkeer - AWV213
