ident8;begin.positie;begin.opschrift;begin.afstand;eind.positie;eind.opschrift;eind.afstand;gebied
N0019041;0;0;-8;1.165;1;129;Agentschap Wegen en Verkeer - AWV212
N0020001;0;4.6;-4602;4.565;4.6;-37;Brussels Gewest - Brussels Gewest
N0020001;4.565;4.6;-37;11.303;11.3;-1;Agentschap Wegen en Verkeer - AWV212
N0020001;11.303;11.3;-1;23.282;23.2;57;Agentschap Wegen en Verkeer - AWV213
N0020001;23.283;23.5;-227;23.493;23.5;-17;Gemeente - GemeenteLeuven
N0020001;23.493;23.5;-17;33.486;33.5;-9;Agentschap Wegen en Verkeer - AWV213
N0020001;33.486;33.5;-9;52.525;52.5;34;Agentschap Wegen en Verkeer - AWV214
N0020001;52.525;52.5;34;62.962;63;-50;Agentschap Wegen en Verkeer - AWV717
N0020001;62.962;63;-50;71.429;71.4;26;Agentschap Wegen en Verkeer - AWV720
N0020001;72.56;72.6;-42;79.849;79.8;49;Agentschap Wegen en Verkeer - AWV720
N0020001;79.849;79.8;49;85.351;85.3;53;Agentschap Wegen en Verkeer - AWV719
N0020001;85.351;85.3;53;86.818;86.9;-73;Gemeente - GemeenteBilzen
N0020001;86.818;86.9;-73;91.64;91.6;41;Agentschap Wegen en Verkeer - AWV719
N0020001;91.64;91.6;41;94.963;94.9;69;Agentschap Wegen en Verkeer - AWV718
N0029021;0;0;-13;0.407;0.3;48;Agentschap Wegen en Verkeer - AWV213
N0029031;0;0;0;0.125;0.1;17;Agentschap Wegen en Verkeer - AWV717
N0029041;0;1.9;-1901;1.802;1.9;-99;Gemeente - GemeenteHerk-de-Stad
N0029041;1.802;1.9;-99;1.967;1.9;66;Agentschap Wegen en Verkeer - AWV717
N0029061;0;0;0;0.983;0;983;Gemeente - GemeenteHasselt
N0029071;0;0;0;0.068;0;68;Agentschap Wegen en Verkeer - AWV213
N0030001;1.55;9.5;-7960;9.463;9.5;-47;Brussels Gewest - Brussels Gewest
N0030001;9.463;9.5;-47;33.193;33.2;-4;Agentschap Wegen en Verkeer - AWV213
N0030001;33.193;33.2;-4;58.389;58.4;-10;Agentschap Wegen en Verkeer - AWV214
N0030001;58.389;58.4;-10;75.3;75.3;0;Agentschap Wegen en Verkeer - AWV719
N0039051;0.2;0.2;0;1.875;0.2;1675;Gemeente - GemeenteSint-Truiden
N0039051;2.71;2.7;-2;3.843;3.8;46;Gemeente - GemeenteSint-Truiden
N0040001;0;0;0;6.168;0;6168;Brussels Gewest - Brussels Gewest
N0040001;6.901;7.1;-199;15.658;15.6;55;Agentschap Wegen en Verkeer - AWV213
N0040001;15.658;15.6;55;16.529;15.6;926;Waals Gewest - Waals Gewest
N0049021;0;0;0;1.59;0;1590;Gemeente - GemeenteOverijse
N0050001;0;8.2;-8247;8.131;8.2;-116;Brussels Gewest - Brussels Gewest
N0050001;8.131;8.2;-116;12.044;12;45;Agentschap Wegen en Verkeer - AWV211
N0050001;12.044;12;45;12.218;12.1;120;Waals Gewest - Waals Gewest
N0060001;0;5.7;-5731;5.654;5.7;-77;Brussels Gewest - Brussels Gewest
