ident8;begin.opschrift;begin.afstand;eind.opschrift;eind.afstand;gebied
A0011121;0;0;0.7;71;Agentschap Wegen en Verkeer - AWV121
A0011122;0;0;0.7;71;Agentschap Wegen en Verkeer - AWV121
A0011151;0;0;0.5;0;Agentschap Wegen en Verkeer - AWV121
A0011152;0;0;0.5;0;Agentschap Wegen en Verkeer - AWV121
A0011161;0;0;0.4;43;Agentschap Wegen en Verkeer - AWV121
A0011162;0;0;0.4;43;Agentschap Wegen en Verkeer - AWV121
A0011211;0;0;0;417;Agentschap Wegen en Verkeer - AWV121
A0011212;0;0;0;417;Agentschap Wegen en Verkeer - AWV121
A0011221;0;-1;0.3;11;Agentschap Wegen en Verkeer - AWV121
A0011222;0;-1;0.3;11;Agentschap Wegen en Verkeer - AWV121
A0011251;0;-1;0.3;87;Agentschap Wegen en Verkeer - AWV121
A0011252;0;-1;0.3;87;Agentschap Wegen en Verkeer - AWV121
A0011261;0.3;-299;0.3;50;Agentschap Wegen en Verkeer - AWV121
A0011262;0.3;-299;0.3;50;Agentschap Wegen en Verkeer - AWV121
A0011411;0;-1;0.2;130;Agentschap Wegen en Verkeer - AWV112
A0011412;0;-1;0.2;130;Agentschap Wegen en Verkeer - AWV112
A0011421;0;0;0.4;124;Agentschap Wegen en Verkeer - AWV112
A0011422;0;0;0.4;124;Agentschap Wegen en Verkeer - AWV112
A0011431;0;0;0;56;Agentschap Wegen en Verkeer - AWV112
A0011432;0;0;0;56;Agentschap Wegen en Verkeer - AWV112
A0011441;0;0;0;57;Agentschap Wegen en Verkeer - AWV112
A0011442;0;0;0;57;Agentschap Wegen en Verkeer - AWV112
A0011451;0;-31;0.8;136;Agentschap Wegen en Verkeer - AWV112
A0011452;0;-31;0.8;136;Agentschap Wegen en Verkeer - AWV112
A0011461;0;-14;0.3;51;Agentschap Wegen en Verkeer - AWV112
A0011462;0;-14;0.3;51;Agentschap Wegen en Verkeer - AWV112
A0011471;0;0;0;79;Agentschap Wegen en Verkeer - AWV112
A0011472;0;0;0;79;Agentschap Wegen en Verkeer - AWV112
A0011481;0;0;0;20;Agentschap Wegen en Verkeer - AWV112
A0011482;0;0;0;20;Agentschap Wegen en Verkeer - AWV112
A0011511;0;-75;0.6;33;Agentschap Wegen en Verkeer - AWV112
A0011512;0;-75;0.6;33;Agentschap Wegen en Verkeer - AWV112
A0011561;0;-34;1.3;102;Agentschap Wegen en Verkeer - AWV112
A0011562;0;-34;1.3;102;Agentschap Wegen en Verkeer - AWV112
A0011611;0;-57;0.2;156;Agentschap Wegen en Verkeer - AWV212
A0011611;0.2;156;0.2;174;Agentschap Wegen en Verkeer - AWV212
A0011612;0;-57;0.2;156;Agentschap Wegen en Verkeer - AWV212
A0011612;0.2;156;0.2;174;Agentschap Wegen en Verkeer - AWV212
A0011621;0;-28;0.3;91;Agentschap Wegen en Verkeer - AWV212
A0011622;0;-28;0.3;91;Agentschap Wegen en Verkeer - AWV212
A0011651;0;-15;0;-9;Agentschap Wegen en Verkeer - AWV212
A0011651;0;-9;0.3;45;Agentschap Wegen en Verkeer - AWV212
A0011652;0;-15;0;-9;Agentschap Wegen en Verkeer - AWV212
A0011652;0;-9;0.3;45;Agentschap Wegen en Verkeer - AWV212
A0011661;0;0;0.2;188;Agentschap Wegen en Verkeer - AWV212
A0011662;0;0;0.2;188;Agentschap Wegen en Verkeer - AWV212
A0011701;0;0;0;26;Agentschap Wegen en Verkeer - AWV212
A0011702;0;0;0;26;Agentschap Wegen en Verkeer - AWV212
A0011711;0;0;0;251;Agentschap Wegen en Verkeer - AWV212
A0011711;0;251;0;481;Agentschap Wegen en Verkeer - AWV212
A0011712;0;0;0;251;Agentschap Wegen en Verkeer - AWV212
A0011712;0;251;0;481;Agentschap Wegen en Verkeer - AWV212
A0011721;0.2;-205;0.3;63;Agentschap Wegen en Verkeer - AWV212
A0011722;0.2;-205;0.3;63;Agentschap Wegen en Verkeer - AWV212
A0011731;0;0;0;283;Agentschap Wegen en Verkeer - AWV212
A0011732;0;0;0;283;Agentschap Wegen en Verkeer - AWV212
A0011741;0;0;0;363;Agentschap Wegen en Verkeer - AWV212
A0011742;0;0;0;363;Agentschap Wegen en Verkeer - AWV212
A0011751;0.2;-185;0.3;107;Agentschap Wegen en Verkeer - AWV212
A0011752;0.2;-185;0.3;107;Agentschap Wegen en Verkeer - AWV212
A0011761;0.1;-110;0.1;-100;Agentschap Wegen en Verkeer - AWV212
A0011761;0.1;-100;0.4;-13;Agentschap Wegen en Verkeer - AWV212
A0011761;0.4;-13;0.4;26;Agentschap Wegen en Verkeer - AWV212
A0011762;0.1;-110;0.1;-100;Agentschap Wegen en Verkeer - AWV212
A0011762;0.1;-100;0.4;-13;Agentschap Wegen en Verkeer - AWV212
